,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04
AK,,,239,137,146,614,2293,2104,3068,9364,18144,11267,6232,3427,4533,4661,1792,945,4894,15419,24202,21036,11623,8073,58396,19442,7902,3166
AL,103,59,2677,6208,11427,21971,49743,37556,27988,37943,59139,104736,97278,32761,16672,13030,15501,5675,37925,121030,89555,31418,15298,63126,319806,53397,13493,2845
AR,17,18,1156,2742,5354,16458,21307,18628,21805,28965,53009,72734,64895,19107,6559,5475,5668,9742,41636,68418,37395,15696,17457,46391,218663,25396,4102,1249
AZ,63,57,2679,7243,16190,71744,86892,22845,16826,33418,104629,216625,199613,45012,23019,21974,17442,14034,39168,91751,77778,75752,110413,130755,497079,74776,17380,6436
CA,389,489,19293,46525,71232,174261,282735,151891,101378,124944,417735,1223319,879312,182777,83637,66169,38350,35755,203821,415072,252182,179665,165165,775039,2788757,353757,86106,51474
CO,85,98,6793,12128,9287,7091,14650,9801,14372,43317,131235,96349,58175,31377,33989,48722,28673,13238,19182,42400,55573,74866,86277,107273,328452,53974,29089,18544
CT,17,36,3766,9257,3629,29767,4007,3505,4564,16341,41109,61021,37648,1148,8904,401,103532,5986,11613,16520,19748,68,9905,154,454,27702,33940,13
DC,,36,1232,3305,2175,566,4361,712,633,798,1860,2729,17932,3534,3560,4783,980,575,1125,4915,5730,2942,2571,6263,55741,4871,1868,2458
DE,,,300,4242,4384,1929,3134,2397,2921,4272,10850,21385,20125,8434,8059,9265,4018,853,1723,8550,13325,10494,9228,29794,63792,7991,2854,2077
FL,132,290,16081,20817,21705,81505,135395,149549,111662,129422,86366,124901,287588,203233,353587,114096,55874,51362,162415,323131,293037,184574,47145,107853,525740,380416,146759,22975
GA,654,151,6416,15950,16329,32436,77866,62935,38652,42936,74014,162666,199402,83626,41758,35132,29838,7010,38128,188487,150310,49094,24617,155254,467610,81119,26681,7449
GU,,,112,34,18,75,67,778,885,1394,1557,336,168,82,46,139,1857,166,146,1960,3920,2843,820,709,4734,8159,2106,382
HI,,,221,340,108,265,908,3388,6552,1628,3788,1154,3941,2178,1425,1411,1271,1189,5877,19372,7354,4197,2398,6686,21072,20346,33084,3135
IA,106,29,2395,15314,25181,30179,34655,34286,36132,45162,75387,33663,23000,11339,10164,8651,4157,1836,7174,26389,42296,29330,6557,24,67,,,
ID,,,1335,843,965,5605,15546,9818,11262,24745,43815,32498,18634,7860,9280,6576,4459,2583,7205,25731,42343,25973,12980,14584,101688,16539,1828,714
IL,30,70,17822,62968,50874,22792,43067,60976,62744,201049,306466,199721,127410,50192,70169,81150,31912,9547,46691,119528,91198,74130,151382,650301,477087,47304,28816,47947
IN,20,41,5375,15882,14340,12000,22592,27145,26898,66576,173985,167772,101869,32142,26544,33949,22924,8015,20963,102360,104893,58129,91065,175517,359967,40975,7698,4019
KS,,,1088,4655,5000,6589,13445,16184,17913,30878,79717,66275,46473,14437,7170,6815,4097,3976,18186,40526,36605,25456,36028,64043,204731,23598,3358,2468
KY,79,39,1689,3983,4339,5720,14441,15640,16186,31305,62598,63157,70734,26937,15524,13878,8671,5328,23729,95492,84380,31339,34171,58549,207464,71479,14762,708
LA,52,75,14614,16057,10489,29142,57546,27980,19138,21442,54834,82136,78437,23593,14030,13008,12483,10575,76531,140902,44144,15772,11514,101378,259131,32024,4112,1756
MA,87,263,14378,55817,31426,8111,9173,10414,13073,28392,77865,150806,138164,54338,58519,49865,15004,3201,13133,42479,51288,41167,77612,250978,441722,50066,28268,28582
MD,23,22,3163,17989,25057,16501,25375,17167,18066,25358,58355,72745,73873,42704,47121,41660,18180,7644,11330,32336,47361,34634,39991,30506,21354,9843,6933,5155
ME,19,24,681,675,1120,868,588,654,871,1647,6755,12320,13557,5267,6465,10951,5570,1119,1636,5948,13895,13589,18423,26675,33574,42123,8580,3079
MI,118,144,13614,16515,9518,6768,13999,14471,18842,43856,100268,94390,77800,31025,79057,116362,51298,30957,31523,37790,55655,75818,97910,116471,178478,227424,129328,37691
MN,,16,1248,8301,18223,11714,20190,20885,26287,62156,183252,78910,38381,22110,41080,54858,19717,4001,11111,41810,69056,78310,123371,134355,304224,46255,12919,10153
