,case_month,res_state,state_total
0,2020-01,AL,103
1,2020-01,AR,17
2,2020-01,AZ,63
3,2020-01,CA,389
4,2020-01,CO,85
5,2020-01,CT,17
6,2020-01,FL,132
7,2020-01,GA,654
8,2020-01,IA,106
9,2020-01,IL,30
10,2020-01,IN,20
11,2020-01,KY,79
12,2020-01,LA,52
13,2020-01,MA,87
14,2020-01,MD,23
15,2020-01,ME,19
16,2020-01,MI,118
17,2020-01,MO,89
18,2020-01,NC,114
19,2020-01,NE,42
20,2020-01,NJ,443
21,2020-01,NM,17
22,2020-01,NV,135
23,2020-01,NY,507
24,2020-01,OH,175
25,2020-01,PA,49
26,2020-01,PR,12
27,2020-01,SC,118
28,2020-01,SD,31
29,2020-01,TN,148
30,2020-01,TX,1234
31,2020-01,UT,44
32,2020-01,WA,32
33,2020-01,WI,71
34,2020-02,AL,59
35,2020-02,AR,18
36,2020-02,AZ,57
37,2020-02,CA,489
38,2020-02,CO,98
39,2020-02,CT,36
40,2020-02,DC,36
41,2020-02,FL,290
42,2020-02,GA,151
43,2020-02,IA,29
44,2020-02,IL,70
45,2020-02,IN,41
46,2020-02,KY,39
47,2020-02,LA,75
48,2020-02,MA,263
49,2020-02,MD,22
50,2020-02,ME,24
51,2020-02,MI,144
52,2020-02,MN,16
53,2020-02,MO,40
54,2020-02,MS,17
55,2020-02,NC,38
56,2020-02,NE,14
57,2020-02,NJ,93
58,2020-02,NM,14
59,2020-02,NV,68
60,2020-02,NY,1049
61,2020-02,OH,207
62,2020-02,OR,35
63,2020-02,PA,72
64,2020-02,SC,53
65,2020-02,TN,49
66,2020-02,TX,191
67,2020-02,UT,31
68,2020-02,VA,57
69,2020-02,WA,316
70,2020-02,WI,53
71,2020-03,AK,239
72,2020-03,AL,2677
73,2020-03,AR,1156
74,2020-03,AZ,2679
75,2020-03,CA,19293
76,2020-03,CO,6793
77,2020-03,CT,3766
78,2020-03,DC,1232
79,2020-03,DE,300
80,2020-03,FL,16081
81,2020-03,GA,6416
82,2020-03,GU,112
83,2020-03,HI,221
84,2020-03,IA,2395
85,2020-03,ID,1335
86,2020-03,IL,17822
87,2020-03,IN,5375
88,2020-03,KS,1088
89,2020-03,KY,1689
90,2020-03,LA,14614
91,2020-03,MA,14378
92,2020-03,MD,3163
93,2020-03,ME,681
94,2020-03,MI,13614
95,2020-03,MN,1248
96,2020-03,MO,3308
97,2020-03,MS,1693
98,2020-03,MT,318
99,2020-03,NC,3364
100,2020-03,ND,222
101,2020-03,NE,466
102,2020-03,NH,790
103,2020-03,NJ,37510
104,2020-03,NM,632
105,2020-03,NV,2484
106,2020-03,NY,129734
107,2020-03,OH,5794
108,2020-03,OK,305
109,2020-03,OR,1410
110,2020-03,PA,14400
111,2020-03,PR,467
112,2020-03,SC,2670
113,2020-03,SD,336
114,2020-03,TN,4304
115,2020-03,TX,9750
116,2020-03,UT,1773
117,2020-03,VA,4210
118,2020-03,VI,43
119,2020-03,VT,552
120,2020-03,WA,8290
121,2020-03,WI,2884
122,2020-03,WV,474
123,2020-03,WY,254
124,2020-04,AK,137
125,2020-04,AL,6208
126,2020-04,AR,2742
127,2020-04,AZ,7243
128,2020-04,CA,46525
129,2020-04,CO,12128
130,2020-04,CT,9257
131,2020-04,DC,3305
132,2020-04,DE,4242
133,2020-04,FL,20817
134,2020-04,GA,15950
135,2020-04,GU,34
136,2020-04,HI,340
137,2020-04,IA,15314
138,2020-04,ID,843
139,2020-04,IL,62968
140,2020-04,IN,15882
141,2020-04,KS,4655
142,2020-04,KY,3983
143,2020-04,LA,16057
144,2020-04,MA,55817
145,2020-04,MD,17989
146,2020-04,ME,675
147,2020-04,MI,16515
148,2020-04,MN,8301
149,2020-04,MO,6128
150,2020-04,MS,5718
151,2020-04,MT,129
152,2020-04,NC,9871
153,2020-04,ND,995
154,2020-04,NE,5491
155,2020-04,NH,1825
156,2020-04,NJ,60295
157,2020-04,NM,3378
158,2020-04,NV,3895
159,2020-04,NY,222740
160,2020-04,OH,16184
161,2020-04,OK,3541
162,2020-04,OR,1616
163,2020-04,PA,40809
164,2020-04,PR,336
165,2020-04,SC,4018
166,2020-04,SD,2239
167,2020-04,TN,9245
168,2020-04,TX,16601
169,2020-04,UT,3792
170,2020-04,VA,17875
171,2020-04,VI,16
172,2020-04,VT,316
173,2020-04,WA,7977
174,2020-04,WI,6495
175,2020-04,WV,814
176,2020-04,WY,313
177,2020-05,AK,146
178,2020-05,AL,11427
179,2020-05,AR,5354
180,2020-05,AZ,16190
181,2020-05,CA,71232
182,2020-05,CO,9287
183,2020-05,CT,3629
184,2020-05,DC,2175
185,2020-05,DE,4384
186,2020-05,FL,21705
187,2020-05,GA,16329
188,2020-05,GU,18
189,2020-05,HI,108
190,2020-05,IA,25181
191,2020-05,ID,965
192,2020-05,IL,50874
193,2020-05,IN,14340
194,2020-05,KS,5000
